Course Code,Course name,Faculty member,Seats open,status,Schedule,Credits,Begin date,End date
AHSE0112-01,The Olin Conductorless Orchestra,"Dabby, Diana",30/30,Open,"R 6:45 - 9:00 PM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab 
R 6:45 - 9:00 PM; MAIN Campus, Academic Center , AC305-Piano Room- Dabby 
R 6:45 - 9:00 PM; MAIN Campus, Academic Center , AC318-Classroom",1,9/3/2015,12/11/2015
AHSE1100-01,History of Technology: A Cultural & Contextual Approach,"Martello, Robert",16/16,Open,"TF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC417-Classroom",4,9/3/2015,12/11/2015
AHSE1122-01,"The Wired Ensemble -Instruments, Voices, Players","Dabby, Diana",16/16,Open,"T 3:20 - 5:00 PM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab 
T 3:20 - 5:00 PM; MAIN Campus, Academic Center , AC305-Piano Room- Dabby 
F 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab 
F 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC305-Piano Room- Dabby",4,9/3/2015,12/11/2015
AHSE1135-01,"The Digital Eye: Photography, Vision, and Visual Communication","Donis-Keller, Helen",14/14,Open,"TF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC313-Art",4,9/3/2015,12/11/2015
AHSE1145-01,The Human Connection: Tools and Concepts from Anthropology for Understanding Today's World,"Lynch, Caitrin",16/16,Open,"T 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC326-Classroom; F 9:30AM - 12:30 PM; MAIN Campus, Academic Center , AC326-Classroom",4,9/3/2015,12/11/2015
AHSE1199-01,"Arts, Humanities, Social Science Foundation Topic : Media Revolution:Activism & Tech","Vitols, Maruta",16/16,Open,"TF 9:00 - 10:40 AM; MAIN Campus, Academic Center , AC318-Classroom",4,9/3/2015,12/11/2015
AHSE1199-02,"Arts, Humanities, Social Science Foundation Topic : Robots, Mutants & Monsters: Envi","Vitols, Maruta",16/16,Open,"TF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC318-Classroom",4,9/3/2015,12/11/2015
AHSE1515-01,Products and Markets,"Neeley, Lawrence",30/30,Open,"M 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC417-Classroom 
R 1:30 - 5:00 PM; MAIN Campus, Academic Center , AC417-Classroom",4,9/3/2015,12/11/2015
AHSE2199-01,"Special Topics in Arts, Humanities and Social Science : Critical Reflective Writing","Zastavker, Yevgeniya

Epstein, Gillian",16/16,Open,"M 9:30AM - 12:30 PM; MAIN Campus, Academic Center , AC128-ProjLab Multi Medi",4,9/3/2015,12/11/2015
AHSE2199A-A1,"Special Topics in Arts, Humanities and Social Science : 6 Microbes tht Changed the World","Martello, Robert",24/24,Open,"0:00 - 0:00 AM; MAIN Campus, Olin Campus",4,9/3/2015,12/11/2015
AHSE3190-01,Arts Humanities Social Sciences Capstone Preparatory Workshop,"Epstein, Gillian",25/25,Open,"0:00 - 0:00 AM; MAIN Campus, Olin Campus",1,9/3/2015,12/11/2015
AHSE3510-01,New Technology Ventures,"Brand, Stephen",15/15,Open,"TR 4:00 - 5:35 PM; MAIN Campus, Academic Center , AC328-Classroom",4,9/3/2015,12/11/2015
AHSE4190-01,Arts Humanities Social Sciences Capstone Project,"Lynch, Caitrin",18/18,Open,"T 1:30 - 4:10 PM; MAIN Campus, Campus Center , CC214-SeminarSmallClasrm",4,9/3/2015,12/11/2015
AHSE4590-01,Entrepreneurship Capstone,Staff,15/15,Open,"MR 1:30 - 3:10 PM; MAIN Campus, Campus Center , CC209-Crescent Room",4,9/3/2015,12/11/2015
AWAY1000-01,Study Away Program,Staff,50/50,Open,No schedule is currently available,12,9/3/2015,12/11/2015
ENGR1125-01,"Introduction to Sensors, Instrumentation and Measurement","Storey, Brian",21/21,Open,"M 1:30 - 3:10 PM; MAIN Campus, Milas Hall , MH120-Auditorium
T 1:00 - 3:10 PM; MAIN Campus, Academic Center , AC428-ModControlDedicate",4,9/3/2015,12/11/2015
ENGR1125-02,"Introduction to Sensors, Instrumentation and Measurement","Storey, Brian",21/21,Open,"M 1:30 - 3:10 PM; MAIN Campus, Milas Hall , MH120-Auditorium
W 1:00 – 3:10 PM; MAIN Campus, Academic Center , AC428-ModControlDedicate",4,9/3/2015,12/11/2015
ENGR1125-03,"Introduction to Sensors, Instrumentation and Measurement","Storey, Brian",21/21,Open,"M 1:30 - 3:10 PM; MAIN Campus, Milas Hall , MH120-Auditorium
R 1:00 - 3:10 PM; MAIN Campus, Academic Center , AC428-ModControlDedicate",4,9/3/2015,12/11/2015
ENGR1125-04,"Introduction to Sensors, Instrumentation and Measurement","Storey, Brian",21/21,Open,"M 1:30 - 3:10 PM; MAIN Campus, Milas Hall , MH120-Auditorium
F 1:00 - 3:10 PM; MAIN Campus, Academic Center , AC428-ModControlDedicate",4,9/3/2015,12/11/2015
ENGR1200-01,Design Nature,"Linder, Benjamin",28/28,Open,"MW 3:20 - 6:00 PM; MAIN Campus, Milas Hall , MH120-Auditorium
MW 3:20 - 6:00 PM; MAIN Campus, Academic Center , AC204-Design Studio",4,9/3/2015,12/11/2015
ENGR1200-02,Design Nature,"Linder, Benjamin",28/28,Open,"MW 3:20 - 6:00 PM; MAIN Campus, Academic Center , AC206-Design Studio",4,9/3/2015,12/11/2015
ENGR1200-03,Design Nature,"Linder, Benjamin",28/28,Open,"MW 3:20 - 6:00 PM; MAIN Campus, Academic Center , AC209-Design Studio",4,9/3/2015,12/11/2015
ENGR1330-01,Fundamentals of Machine Shop Operations,"Andruskiewicz, Bruce",6/6,Open,"W 1:00 - 5:00 PM; MAIN Campus, Academic Center , AC104-Machine Shop",4,9/3/2015,12/11/2015
ENGR2125-01,"The Engineer's Orchestra I: Acoustics, Waves and Vibrations","Dabby, Diana
Lee, Christopher",15/15,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab",4,9/3/2015,12/11/2015
ENGR2199B-01,Special Topics in Engineering : Regional Analysis fr Development,"Mur-Miranda, Jose Oscar",30/30,Open,"MR 3:20 - 5:00 PM; MAIN Campus, Academic Center , AC326-Classroom",2,9/3/2015,12/11/2015
ENGR2210-01,Principles of Engineering,"Hoover, Aaron",30/30,Open,"TF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC306-Lab/ClassRm-Bnchs",4,9/3/2015,12/11/2015
ENGR2210-02,Principles of Engineering,"Hoover, Aaron",30/30,Open,"TF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC309-Classroom",4,9/3/2015,12/11/2015
ENGR2210-03,Principles of Engineering,"Hoover, Aaron",30/30,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC306-Lab/ClassRm-Bnchs",4,9/3/2015,12/11/2015
ENGR2340-01,Dynamics,"Lee, Christopher",40/40,Open,"TF 9:00 – 10:40 AM; MAIN Campus, Academic Center , AC328-Classroom
W 9:30 - 10:30 AM; MAIN Campus, Academic Center , AC328-Classroom",4,9/3/2015,12/11/2015
ENGR2510-01,Software Design,"Millner, Amon",25/25,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC326-Classroom",4,9/3/2015,12/11/2015
ENGR3220-01,Human Factors and Interface Design,"Stein, Lynn Andrea",24/24,Open,"MR 3:20 - 5:50 PM; MAIN Campus, Academic Center , AC109-Classroom",4,9/3/2015,12/11/2015
ENGR3250-01,Integrated Product Design,"Linder, Benjamin",18/18,Open,"R 3:30 - 6:30 PM; MAIN Campus, Academic Center , AC213-Design Studio",4,9/3/2015,12/11/2015
ENGR3290-01,Affordable Design and Entrepreneurship,"Linder, Benjamin",15/15,Open,"T 3:30 - 6:30 PM; MAIN Campus, Academic Center , AC213-Design Studio",4,9/3/2015,12/11/2015
ENGR3299-01,Special Topics in Design Engineering : Investigating Normal: Adaptive &,"Linder, Benjamin",15/15,Open,"T 3:30 - 6:30 PM; MAIN Campus, Academic Center , AC213-Design Studio",4,9/3/2015,12/11/2015
ENGR3299-01,Special Topics in Design Engineering : Investigating Normal: Adaptive &,"Hendren, Sara",20/20,Open,"T 1:30 - 5:00 PM; MAIN Campus, Academic Center , AC109-Classroom
F 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC109-Classroom",4,9/3/2015,12/11/2015
ENGR3310-01,Transport Phenomena,"Storey, Brian",28/28,Open,"MR 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC328-Classroom",4,9/3/2015,12/11/2015
ENGR3330-01,Mechanical Design,"Barrett, David",28/28,Open,"MR 9:00 - 10:40 AM; MAIN Campus, Academic Center , AC309-Classroom",4,9/3/2015,12/11/2015
ENGR3370-01,Controls,"Lundberg, Kent",25/25,Open,"MR 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab",4,9/3/2015,12/11/2015
ENGR3390-01,Fundamentals of Robotics,"Barrett, David",24/24,Open,"MR 3:20 - 5:00 PM; MAIN Campus, Academic Center , AC309-Classroom",4,9/3/2015,12/11/2015
ENGR3410-01,Computer Architecture,"Hill, Benjamin Thomas",35/35,Open,"MR 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC326-Classroom",4,9/3/2015,12/11/2015
ENGR3420-01,Introduction to Analog and Digital Communication,"Govindasamy, Siddhartan",24/24,Open,"TF 9:00 - 10:40 AM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab",4,9/3/2015,12/11/2015
ENGR3430-01,EE Prototyping,"Lundberg, Kent",24/24,Open,"MR 3:20 - 6:00 PM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab",4,9/3/2015,12/11/2015
ENGR3525-01,Software Systems,"Downey, Allen",30/30,Open,"TF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC126-Tiered Classrom",4,9/3/2015,12/11/2015
ENGR3590-01,A Computational Introduction to Robotics,"Ruvolo, Paul",15/15,Open,"MR 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC318-Classroom",4,9/3/2015,12/11/2015
ENGR3590-02,A Computational Introduction to Robotics,"Ruvolo, Paul",15/15,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC318-Classroom",4,9/3/2015,12/11/2015
